"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"BH123A","MPD (Memory Protection Devices)","BH123A-ND","BT1","","Bulk","Active","1","1.07000","$1.07","48634","12 Weeks","BATT HOLDER CR123A THRU HOLE","RoHS Compliant","Lead free","REACH Unaffected"
"1825966-1","TE Connectivity ALCOSWITCH Switches","450-1665-ND","SW1","","Bulk","Active","1","0.30000","$0.30","8980","11 Weeks","SWITCH TACTILE SPST-NO 0.05A 24V","RoHS Compliant","Lead free","Not Available"
"1277AS-H-1R0M=P2","Murata Electronics North America","490-10590-1-ND","L1","","Cut Tape (CT)","Active","1","0.45000","$0.45","89590","13 Weeks","FIXED IND 1UH 3.1A 45 MOHM SMD","RoHS Compliant","Lead free","Not Available"
"MH1608-601Y","Bourns Inc.","MH1608-601YCT-ND","L2","","Cut Tape (CT)","Active","1","0.10000","$0.10","414856","17 Weeks","FERRITE BEAD 600 OHM 0603 1LN","RoHS Compliant","Lead free","REACH Unaffected"
"C2Q 500","Bel Fuse Inc.","507-1089-1-ND","F1","","Cut Tape (CT)","Active","1","0.33000","$0.33","6977","10 Weeks","FUSE BOARD MNT 500MA 32VAC 63VDC","RoHS Compliant","Lead free","REACH Unaffected"
"NRVB120VLSFT1G","ON Semiconductor","NRVB120VLSFT1GOSCT-ND","D2","","Cut Tape (CT)","Active","1","0.46000","$0.46","3527","26 Weeks","DIODE SCHOTTKY 20V 1A SOD123","RoHS Compliant","Lead free","REACH Unaffected"
"STM32L052C8T6","STMicroelectronics","497-14903-ND","U2","","Tray","Active","1","3.77000","$3.77","1840","30 Weeks","IC MCU 32BIT 64KB FLASH 48LQFP","RoHS Compliant","Lead free","Not Available"
"ISL91127IRNZ-T7A","Intersil","ISL91127IRNZ-T7ACT-ND","U1","","Cut Tape (CT)","Active","1","3.49000","$3.49","695","6 Weeks","IC REG BUCK BST 3.3V 2A WLCSP","RoHS Compliant","Lead free","REACH Unaffected"
"GRM188R61C106KAALD","Murata Electronics North America","490-10728-1-ND","C2, C4","","Cut Tape (CT)","Active","2","0.47000","$0.94","0","Not Available","CAP CER 10UF 16V X5R 0603","RoHS Compliant","Lead free","Not Available"
"C1608X5R1A226M080AC","TDK Corporation","445-9077-1-ND","C6, C7","","Cut Tape (CT)","Active","2","0.58000","$1.16","40000","Not Available","CAP CER 22UF 10V X5R 0603","RoHS Compliant","Lead free","REACH Unaffected"
"CRCW060310K0FKEA","Vishay Dale","541-10.0KHCT-ND","R4, R15, R9","","Cut Tape (CT)","Active","3","0.10000","$0.30","0","Not Available","RES SMD 10K OHM 1% 1/10W 0603","RoHS Compliant","Lead free","Not Available"
"ERJ-3GEY0R00V","Panasonic Electronic Components","P0.0GCT-ND","R6","","Cut Tape (CT)","Active","1","0.10000","$0.10","19976078","Not Available","RES SMD 0 OHM JUMPER 1/10W 0603","RoHS Compliant","Lead free","REACH Unaffected"
"06035C104KAT2A","AVX Corporation","478-5052-1-ND","C12, C14, C15, C17","","Cut Tape (CT)","Active","4","0.16000","$0.64","40000","Not Available","CAP CER 0.1UF 50V X7R 0603","RoHS Compliant","Lead free","REACH Unaffected"
"GRM185R61C105KE44D","Murata Electronics North America","490-3894-1-ND","C13, C16","","Cut Tape (CT)","Active","2","0.26000","$0.52","0","Not Available","CAP CER 1UF 16V X5R 0603","RoHS Compliant","Lead free","Not Available"
"5110","Keystone Electronics","36-5110CT-ND","R23","","Cut Tape (CT)","Active","1","0.41000","$0.41","205665","4 Weeks","RES SMD 0 OHM JUMPER 1/2W 0603","RoHS Compliant","Lead free","REACH Unaffected"
